id;name;category;brand;saleFormat;installmentsNoInterest;flashOffer;price;oldPrice;offPct;freeShip;image;featured;description;stock;location;barcode;unit;cdsetor;cdsetdep
01.0140;"PORTA TOALHA 2040 F24 QUADRA PT FOSCO LORENZETTI";"METAIS E TORN LORENZETT";"";"UN";false;true;39.90;52.64;24;false;"/assets/no-image.jpg";false;"Produto sem descrição.";7;"";"1.1.7";"UN";;
01.0141;"KIT ARM MGM IRIS CAFE/BRANCO 44 CM";"ARMARIOS";"";"UN";false;false;189.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7898942618017";"UN";;
01.0142;"KIT ARM MGM HORTENCIA BCO/CAF� 55 CM";"ARMARIOS";"";"UN";false;false;299.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7898942617935";"UN";;
01.0144;"UNIDUT CONICO ZINCADO 11/2";"CONDULETE ALUMINIO";"";"UN";false;true;15.00;19.06;21;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.1.79";"UN";;
803202;"TUBO AQUECEDOR 90 MM X 1,5 M";"ACESSORIOS DE AQUECEDOR";"";"UN";false;false;81.10;;;false;"/assets/produtos/803202.png";false;"Produto sem descrição.";30;"";"7896500806029";"UN";;
01.0146;"TAMPA P/CX DAGUA FIBRA 15000 LT";"HIDRAULICO";"";"UN";false;true;2589.19;3164.47;18;false;"/assets/produtos/01.0146.png";false;"Produto sem descrição.";0;"";"7898911730511";"UN";;
02.0001;"MOCHILA EXECUTIVO";"FERRAMENTAS";"";"UN";false;true;121.62;148.65;18;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7899655073889";"UN";;
02.0003;"GARRA E PARAF TANQUE 22/30 LT";"PARAF/PORCA/ARRUELAS/BUCHAS";"";"UN";false;true;15.00;20.00;25;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.2.10";"UN";;
02.0005;"TAMPO POLIESTER LISO INCOLOR";"TAMPOS E ACESSORIOS";"";"UN";false;true;299.00;381.22;22;false;"/assets/no-image.jpg";false;"Produto sem descrição.";5;"";"1.2.12";"UN";;
02.0007;"TAMPO POLIESTER LISO BRANCO";"TAMPOS E ACESSORIOS";"";"UN";false;false;299.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";13;"";"1.2.14";"UN";;
02.0011;"TAMPO POLIESTER LISO PRETO";"TAMPOS E ACESSORIOS";"";"UN";false;false;299.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";10;"";"1.2.18";"UN";;
02.0013;"VALV MICTORIO C/ RABICHO";"METAIS DIVERSOS 1";"";"UN";false;true;79.90;85.64;7;false;"/assets/no-image.jpg";false;"Produto sem descrição.";16;"";"7898538964221";"UN";;
02.0015;"FIXACAO P/ TANQUE";"LOUCAS";"";"UN";false;true;16.00;24.00;33;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"125";"UN";;
02.0016;"TAMPO POLIESTER LISO CINZA";"TAMPOS E ACESSORIOS";"";"UN";false;true;299.00;381.22;22;false;"/assets/no-image.jpg";false;"Produto sem descrição.";4;"";"1.2.7";"UN";;
02.0017;"TAMPO POLIESTER LISO BEGE";"TAMPOS E ACESSORIOS";"";"UN";false;false;299.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";3;"";"1.2.8";"UN";;
02.0018;"TORN SAFIRA 1152";"METAIS DIVERSOS 1";"";"UN";false;true;55.46;66.00;16;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"129";"UN";;
02.0024;"SUPORTE METALICO AMANCO DOBRADO";"HIDRAULICO";"";"UN";false;true;3.74;7.70;51;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"126";"UN";;
03.0001;"SALDO ACESSORIOS BANHEIRO";"ACO INOXIDAVEL";"";"UN";false;true;25.00;29.00;14;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"131";"UN";;
03.0002;"SALDO PAPELEIRA INOX GANCHO";"METAIS AGUIA";"";"UN";false;false;38.35;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.3.10";"UN";;
03.0003;"SUP TRIPE EXTINTOR CHAO";"SEM GRUPO";"";"UN";false;true;82.18;139.64;41;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1311";"UN";;
03.0004;"KIT 5 P�S 2000 F24 ROSE GOLD LORENZETT";"MATERIAIS PLASTICOS";"";"UN";false;false;174.89;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";3;"";"1312";"UN";;
03.0006;"KIT 5 P�S 2000 F24 QUADRA BR LORENZETTI";"MATERIAIS PLASTICOS";"";"UN";false;false;97.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";6;"";"1314";"UN";;
03.0007;"SABONET 15 X 7,5 S/P 215 MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;20.00;75.00;73;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1315";"UN";;
03.0008;"SABONET 15 X 7.5 C/P 15A MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;25.00;139.34;82;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1316";"UN";;
03.0009;"SABONET 15 X 15 S/P 216 MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;29.00;85.00;66;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1317";"UN";;
03.0010;"SABONET 15 X 15 C/P 16AV MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;181.11;245.29;26;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"1318";"UN";;
03.0011;"SABONETE FRUTAS VERMELHAS";"MATERIAL DE LIMPEZA";"";"UN";false;false;2.01;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";12;"";"7897751902409";"UN";;
03.0012;"SABONETEIRA LIQUIDA GIRATORIA PVC";"ACO INOXIDAVEL";"";"UN";false;true;25.00;30.00;17;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"132";"UN";;
03.0013;"SABONET 15 X 30 DUPLA MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;49.00;552.00;91;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"1320";"UN";;
03.0014;"KIT 4 P�S 2004 F71 ROSE GOLD LORENZETTI";"MATERIAIS PLASTICOS";"";"UN";false;false;249.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"1321";"UN";;
03.0016;"PORTA SHAMPOO 2028 F24 QUADRA BR LORENZETT";"METAIS E TORN LORENZETT";"";"UN";false;true;38.00;40.27;6;false;"/assets/no-image.jpg";false;"Produto sem descrição.";10;"";"1323";"UN";;
03.0017;"ARANDELA C/BRACO ALUMINIO 45";"LUMINARIAS";"";"UN";false;true;30.00;36.00;17;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1324";"UN";;
03.0018;"PORTA SHAMPO 2028 F24 QUAD PT FOSCO LORENZETT";"MATERIAIS PLASTICOS";"";"UN";false;false;46.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";10;"";"7891594004092";"UN";;
03.0019;"SABONET 2009 F24 QUADRA PT FOSCO LORENZETT";"MATERIAIS PLASTICOS";"";"UN";false;false;29.99;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";6;"";"7891594004047";"UN";;
